location,date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed
High income,1/22/20,6,,,,,,,,
High income,1/23/20,12,,,,,,,,
High income,1/24/20,21,,,,,,,,
High income,1/25/20,25,,,,,,,,
High income,1/26/20,43,,,,,,,,
High income,1/27/20,49,6.143,,0,,,,,
High income,1/28/20,63,8.143,,0,,,,,
High income,1/29/20,73,9.571,,0,,,,,
High income,1/30/20,84,10.286,,0,,,,,
High income,1/31/20,108,12.429,,0,,,,,
High income,2/1/20,127,14.571,,0,,,,,
High income,2/2/20,138,13.571,,0,,,,,
High income,2/3/20,149,14.286,,0,,,,,
High income,2/4/20,166,14.714,1,0.143,,,,,
High income,2/5/20,180,15.286,1,0.143,,,,,
High income,2/6/20,194,15.714,1,0.143,,,,,
High income,2/7/20,203,13.571,1,0.143,,,,,
High income,2/8/20,220,13.286,1,0.143,,,,,
High income,2/9/20,235,13.857,1,0.143,,,,,
High income,2/10/20,255,15.143,1,0.143,,,,,
High income,2/11/20,275,15.571,1,0,,,,,
High income,2/12/20,281,14.429,1,0,,,,,
High income,2/13/20,299,15,2,0.143,,,,,
High income,2/14/20,322,17,2,0.143,,,,,
High income,2/15/20,339,17,3,0.286,,,,,
High income,2/16/20,353,16.857,4,0.429,,,,,
High income,2/17/20,370,16.429,4,0.429,,,,,
High income,2/18/20,389,16.286,5,0.571,,,,,
High income,2/19/20,401,17.143,6,0.714,,,,,
High income,2/20/20,493,27.714,7,0.714,,,,,
High income,2/21/20,636,44.857,9,1,,,,,
High income,2/22/20,938,85.571,10,1,,,,,
High income,2/23/20,1232,125.571,15,1.571,,,,,
High income,2/24/20,1562,170.286,21,2.429,,,,,
High income,2/25/20,1869,211.429,27,3.143,,,,,
High income,2/26/20,2366,280.857,32,3.714,,,,,
High income,2/27/20,3168,382.286,39,4.571,,,,,
High income,2/28/20,4113,496.857,44,5,,,,,
High income,2/29/20,5336,628.429,58,6.857,,,,,
High income,3/1/20,6728,785.286,65,7.143,,,,,
High income,3/2/20,7964,914.714,100,11.286,,,,,
High income,3/3/20,9595,1103.857,130,14.714,,,,,
High income,3/4/20,11150,1254.857,172,20,,,,,
High income,3/5/20,13085,1416.714,218,25.571,,,,,
High income,3/6/20,15531,1631.143,283,34.143,,,,,
High income,3/7/20,18453,1873.857,338,40,,,,,
High income,3/8/20,21374,2092.286,498,61.857,,,,,
High income,3/9/20,24985,2431.571,622,74.571,,,,,
High income,3/10/20,28712,2731,825,99.286,,,,,
High income,3/11/20,35018,3413.714,1077,129.286,,,,,
High income,3/12/20,40550,3927.571,1297,154.143,,,,,
